timestamp, pstate, clocks.current.sm [MHz], clocks.max.sm [MHz], clocks.current.memory [MHz], clocks.max.memory [MHz], memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], power.management
2025/04/13 21:30:55.948, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:31:00.952, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.89 W, 250.00 W, Enabled
2025/04/13 21:31:05.956, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.89 W, 250.00 W, Enabled
2025/04/13 21:31:10.961, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.89 W, 250.00 W, Enabled
2025/04/13 21:31:15.966, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.89 W, 250.00 W, Enabled
2025/04/13 21:31:20.971, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:31:25.975, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:31:30.981, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
2025/04/13 21:31:35.986, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.65 W, 250.00 W, Enabled
2025/04/13 21:31:40.990, P0, 405 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 0 MiB, 12193 MiB, 0 %, 0 %, 32, 25.90 W, 250.00 W, Enabled
