timestamp, power.draw [W] - P100, power.limit [W] - P100, power.management - P100
41:02.7, 25.40 W, 250.00 W, Enabled
41:07.7, 25.40 W, 250.00 W, Enabled
41:12.7, 25.40 W, 250.00 W, Enabled
41:17.7, 25.40 W, 250.00 W, Enabled
41:22.7, 30.26 W, 250.00 W, Enabled
41:27.7, 30.26 W, 250.00 W, Enabled
41:32.7, 133.88 W, 250.00 W, Enabled
41:37.7, 98.46 W, 250.00 W, Enabled
41:42.7, 137.01 W, 250.00 W, Enabled
41:47.7, 155.02 W, 250.00 W, Enabled
41:52.7, 111.95 W, 250.00 W, Enabled
41:57.7, 109.82 W, 250.00 W, Enabled
42:02.7, 142.74 W, 250.00 W, Enabled
42:07.7, 153.90 W, 250.00 W, Enabled
42:12.7, 128.30 W, 250.00 W, Enabled
42:17.7, 136.29 W, 250.00 W, Enabled
42:22.7, 157.82 W, 250.00 W, Enabled
42:27.8, 116.32 W, 250.00 W, Enabled
42:32.8, 135.49 W, 250.00 W, Enabled
42:37.8, 150.51 W, 250.00 W, Enabled
42:42.8, 135.10 W, 250.00 W, Enabled
42:47.8, 98.46 W, 250.00 W, Enabled
42:52.8, 159.76 W, 250.00 W, Enabled
42:57.8, 158.05 W, 250.00 W, Enabled
43:02.8, 146.15 W, 250.00 W, Enabled
43:07.8, 124.50 W, 250.00 W, Enabled
43:12.8, 167.15 W, 250.00 W, Enabled
43:17.8, 147.43 W, 250.00 W, Enabled
43:22.8, 91.71 W, 250.00 W, Enabled
43:27.8, 163.39 W, 250.00 W, Enabled
43:32.8, 151.96 W, 250.00 W, Enabled
43:37.8, 116.08 W, 250.00 W, Enabled
43:42.8, 164.21 W, 250.00 W, Enabled
43:47.8, 119.71 W, 250.00 W, Enabled
43:52.8, 105.20 W, 250.00 W, Enabled
43:57.8, 148.24 W, 250.00 W, Enabled
44:02.8, 154.27 W, 250.00 W, Enabled
44:07.8, 164.83 W, 250.00 W, Enabled
44:12.8, 137.67 W, 250.00 W, Enabled
44:17.8, 103.07 W, 250.00 W, Enabled
44:22.9, 171.05 W, 250.00 W, Enabled
44:27.9, 153.55 W, 250.00 W, Enabled
44:32.9, 96.95 W, 250.00 W, Enabled
44:37.9, 165.57 W, 250.00 W, Enabled
44:42.9, 136.77 W, 250.00 W, Enabled
44:47.9, 133.70 W, 250.00 W, Enabled
44:52.9, 162.42 W, 250.00 W, Enabled
44:57.9, 82.76 W, 250.00 W, Enabled
45:02.9, 130.23 W, 250.00 W, Enabled
45:07.9, 171.05 W, 250.00 W, Enabled
45:12.9, 143.46 W, 250.00 W, Enabled
45:17.9, 121.64 W, 250.00 W, Enabled
45:22.9, 171.69 W, 250.00 W, Enabled
45:27.9, 150.26 W, 250.00 W, Enabled
45:32.9, 88.79 W, 250.00 W, Enabled
45:37.9, 158.58 W, 250.00 W, Enabled
45:42.9, 163.07 W, 250.00 W, Enabled
45:47.9, 90.44 W, 250.00 W, Enabled
45:52.9, 162.27 W, 250.00 W, Enabled
45:57.9, 157.67 W, 250.00 W, Enabled
46:02.9, 106.17 W, 250.00 W, Enabled
46:07.9, 159.27 W, 250.00 W, Enabled
46:12.9, 150.99 W, 250.00 W, Enabled
46:18.0, 105.20 W, 250.00 W, Enabled
46:23.0, 157.59 W, 250.00 W, Enabled
46:28.0, 168.46 W, 250.00 W, Enabled
46:33.0, 133.14 W, 250.00 W, Enabled
46:38.0, 141.07 W, 250.00 W, Enabled
46:43.0, 132.00 W, 250.00 W, Enabled
46:48.0, 171.69 W, 250.00 W, Enabled
46:53.0, 142.04 W, 250.00 W, Enabled
46:58.0, 146.54 W, 250.00 W, Enabled
47:03.0, 171.14 W, 250.00 W, Enabled
47:08.0, 139.21 W, 250.00 W, Enabled
47:13.0, 152.92 W, 250.00 W, Enabled
47:18.0, 162.44 W, 250.00 W, Enabled
47:23.0, 104.72 W, 250.00 W, Enabled
47:28.0, 144.43 W, 250.00 W, Enabled
47:33.0, 158.64 W, 250.00 W, Enabled
47:38.0, 111.03 W, 250.00 W, Enabled
47:43.0, 129.27 W, 250.00 W, Enabled
47:48.0, 164.36 W, 250.00 W, Enabled
47:53.0, 156.47 W, 250.00 W, Enabled
47:58.0, 152.60 W, 250.00 W, Enabled
48:03.0, 163.00 W, 250.00 W, Enabled
48:08.1, 157.82 W, 250.00 W, Enabled
48:13.1, 161.47 W, 250.00 W, Enabled
48:18.1, 159.61 W, 250.00 W, Enabled
48:23.1, 103.50 W, 250.00 W, Enabled
48:28.1, 150.75 W, 250.00 W, Enabled
48:33.1, 157.44 W, 250.00 W, Enabled
48:38.1, 103.07 W, 250.00 W, Enabled
48:43.1, 157.68 W, 250.00 W, Enabled
48:48.1, 148.32 W, 250.00 W, Enabled
48:53.1, 110.06 W, 250.00 W, Enabled
48:58.1, 170.15 W, 250.00 W, Enabled
49:03.1, 146.87 W, 250.00 W, Enabled
49:08.1, 158.16 W, 250.00 W, Enabled
49:13.1, 130.54 W, 250.00 W, Enabled
49:18.1, 130.79 W, 250.00 W, Enabled
49:23.1, 167.75 W, 250.00 W, Enabled
49:28.1, 106.42 W, 250.00 W, Enabled
49:33.1, 164.12 W, 250.00 W, Enabled
49:38.1, 166.39 W, 250.00 W, Enabled
49:43.1, 143.65 W, 250.00 W, Enabled
49:48.1, 150.57 W, 250.00 W, Enabled
49:53.1, 168.23 W, 250.00 W, Enabled
49:58.1, 125.77 W, 250.00 W, Enabled
50:03.1, 150.51 W, 250.00 W, Enabled
50:08.2, 162.18 W, 250.00 W, Enabled
50:13.2, 123.10 W, 250.00 W, Enabled
50:18.2, 169.43 W, 250.00 W, Enabled
50:23.2, 143.57 W, 250.00 W, Enabled
50:28.2, 122.81 W, 250.00 W, Enabled
50:33.2, 172.23 W, 250.00 W, Enabled
50:38.2, 152.11 W, 250.00 W, Enabled
50:43.2, 130.72 W, 250.00 W, Enabled
50:48.2, 165.09 W, 250.00 W, Enabled
50:53.2, 99.68 W, 250.00 W, Enabled
50:58.2, 127.58 W, 250.00 W, Enabled
51:03.2, 173.07 W, 250.00 W, Enabled
51:08.2, 127.16 W, 250.00 W, Enabled
51:13.2, 122.31 W, 250.00 W, Enabled
51:18.3, 163.39 W, 250.00 W, Enabled
51:23.3, 154.87 W, 250.00 W, Enabled
51:28.3, 117.27 W, 250.00 W, Enabled
51:33.3, 175.24 W, 250.00 W, Enabled
51:38.3, 162.42 W, 250.00 W, Enabled
51:43.3, 161.30 W, 250.00 W, Enabled
51:48.3, 110.97 W, 250.00 W, Enabled
51:53.3, 158.17 W, 250.00 W, Enabled
51:58.3, 163.73 W, 250.00 W, Enabled
52:03.3, 119.14 W, 250.00 W, Enabled
52:08.3, 170.52 W, 250.00 W, Enabled
52:13.3, 157.43 W, 250.00 W, Enabled
52:18.3, 102.78 W, 250.00 W, Enabled
52:23.3, 172.94 W, 250.00 W, Enabled
52:28.3, 165.55 W, 250.00 W, Enabled
52:33.3, 123.99 W, 250.00 W, Enabled
52:38.3, 171.62 W, 250.00 W, Enabled
52:43.3, 123.03 W, 250.00 W, Enabled
52:48.3, 134.09 W, 250.00 W, Enabled
52:53.3, 175.99 W, 250.00 W, Enabled
52:58.4, 160.49 W, 250.00 W, Enabled
53:03.4, 129.26 W, 250.00 W, Enabled
53:08.4, 167.38 W, 250.00 W, Enabled
53:13.4, 152.59 W, 250.00 W, Enabled
53:18.4, 134.52 W, 250.00 W, Enabled
53:23.4, 169.56 W, 250.00 W, Enabled
53:28.4, 151.36 W, 250.00 W, Enabled
53:33.4, 144.92 W, 250.00 W, Enabled
53:38.4, 166.59 W, 250.00 W, Enabled
53:43.4, 143.24 W, 250.00 W, Enabled
53:48.4, 160.71 W, 250.00 W, Enabled
53:53.4, 164.59 W, 250.00 W, Enabled
53:58.4, 121.99 W, 250.00 W, Enabled
54:03.4, 169.33 W, 250.00 W, Enabled
54:08.4, 126.34 W, 250.00 W, Enabled
54:13.4, 157.81 W, 250.00 W, Enabled
54:18.4, 101.13 W, 250.00 W, Enabled
54:23.4, 174.88 W, 250.00 W, Enabled
54:28.4, 147.51 W, 250.00 W, Enabled
54:33.4, 128.78 W, 250.00 W, Enabled
54:38.4, 170.52 W, 250.00 W, Enabled
54:43.4, 127.56 W, 250.00 W, Enabled
54:48.4, 131.20 W, 250.00 W, Enabled
54:53.4, 179.48 W, 250.00 W, Enabled
54:58.5, 145.56 W, 250.00 W, Enabled
55:03.5, 126.11 W, 250.00 W, Enabled
55:08.5, 168.23 W, 250.00 W, Enabled
55:13.5, 154.52 W, 250.00 W, Enabled
55:18.5, 127.08 W, 250.00 W, Enabled
55:23.5, 164.01 W, 250.00 W, Enabled
55:28.5, 110.71 W, 250.00 W, Enabled
55:33.5, 172.12 W, 250.00 W, Enabled
55:38.5, 162.41 W, 250.00 W, Enabled
55:43.5, 114.22 W, 250.00 W, Enabled
55:48.5, 174.29 W, 250.00 W, Enabled
55:53.5, 134.27 W, 250.00 W, Enabled
55:58.5, 137.24 W, 250.00 W, Enabled
56:03.5, 166.91 W, 250.00 W, Enabled
56:08.5, 93.49 W, 250.00 W, Enabled
56:13.5, 132.42 W, 250.00 W, Enabled
56:18.5, 171.63 W, 250.00 W, Enabled
56:23.5, 130.54 W, 250.00 W, Enabled
56:28.5, 130.64 W, 250.00 W, Enabled
56:33.5, 165.80 W, 250.00 W, Enabled
56:38.5, 109.09 W, 250.00 W, Enabled
56:43.5, 124.56 W, 250.00 W, Enabled
56:48.6, 149.37 W, 250.00 W, Enabled
56:53.6, 153.31 W, 250.00 W, Enabled
56:58.6, 160.73 W, 250.00 W, Enabled
57:03.6, 111.46 W, 250.00 W, Enabled
57:08.6, 172.48 W, 250.00 W, Enabled
57:13.6, 147.11 W, 250.00 W, Enabled
57:18.6, 108.85 W, 250.00 W, Enabled
57:23.6, 172.57 W, 250.00 W, Enabled
57:28.6, 150.42 W, 250.00 W, Enabled
57:33.6, 127.89 W, 250.00 W, Enabled
57:38.6, 172.23 W, 250.00 W, Enabled
57:43.6, 124.50 W, 250.00 W, Enabled
57:48.6, 91.90 W, 250.00 W, Enabled
57:53.6, 164.60 W, 250.00 W, Enabled
57:58.6, 148.24 W, 250.00 W, Enabled
58:03.6, 103.69 W, 250.00 W, Enabled
58:08.6, 170.30 W, 250.00 W, Enabled
58:13.6, 152.11 W, 250.00 W, Enabled
58:18.6, 108.78 W, 250.00 W, Enabled
58:23.6, 169.12 W, 250.00 W, Enabled
58:28.6, 146.14 W, 250.00 W, Enabled
58:33.7, 128.06 W, 250.00 W, Enabled
58:38.7, 169.20 W, 250.00 W, Enabled
58:43.7, 90.01 W, 250.00 W, Enabled
58:48.7, 133.63 W, 250.00 W, Enabled
58:53.7, 167.10 W, 250.00 W, Enabled
58:58.7, 142.51 W, 250.00 W, Enabled
59:03.7, 175.24 W, 250.00 W, Enabled
59:08.7, 157.01 W, 250.00 W, Enabled
59:13.7, 130.97 W, 250.00 W, Enabled
59:18.7, 104.48 W, 250.00 W, Enabled
59:23.7, 171.75 W, 250.00 W, Enabled
59:28.7, 153.08 W, 250.00 W, Enabled
59:33.7, 111.52 W, 250.00 W, Enabled
59:38.7, 165.81 W, 250.00 W, Enabled
59:43.7, 143.72 W, 250.00 W, Enabled
59:48.7, 125.39 W, 250.00 W, Enabled
59:53.8, 112.67 W, 250.00 W, Enabled
59:58.8, 130.56 W, 250.00 W, Enabled
00:03.8, 172.10 W, 250.00 W, Enabled
00:08.8, 162.58 W, 250.00 W, Enabled
00:13.8, 149.21 W, 250.00 W, Enabled
00:18.8, 156.22 W, 250.00 W, Enabled
00:23.8, 111.70 W, 250.00 W, Enabled
00:28.8, 155.99 W, 250.00 W, Enabled
00:33.8, 156.46 W, 250.00 W, Enabled
00:38.8, 113.89 W, 250.00 W, Enabled
00:43.8, 175.86 W, 250.00 W, Enabled
00:48.8, 131.05 W, 250.00 W, Enabled
00:53.8, 109.38 W, 250.00 W, Enabled
00:58.8, 171.26 W, 250.00 W, Enabled
01:03.8, 149.77 W, 250.00 W, Enabled
01:08.9, 127.40 W, 250.00 W, Enabled
01:13.9, 170.78 W, 250.00 W, Enabled
01:18.9, 134.53 W, 250.00 W, Enabled
01:23.9, 162.18 W, 250.00 W, Enabled
01:28.9, 165.80 W, 250.00 W, Enabled
01:33.9, 96.28 W, 250.00 W, Enabled
01:38.9, 128.55 W, 250.00 W, Enabled
01:43.9, 168.72 W, 250.00 W, Enabled
01:48.9, 175.49 W, 250.00 W, Enabled
01:53.9, 122.87 W, 250.00 W, Enabled
01:58.9, 132.97 W, 250.00 W, Enabled
02:03.9, 169.81 W, 250.00 W, Enabled
02:08.9, 124.98 W, 250.00 W, Enabled
02:13.9, 133.39 W, 250.00 W, Enabled
02:18.9, 168.59 W, 250.00 W, Enabled
02:23.9, 153.66 W, 250.00 W, Enabled
02:28.9, 130.32 W, 250.00 W, Enabled
02:33.9, 160.82 W, 250.00 W, Enabled
02:38.9, 165.57 W, 250.00 W, Enabled
02:43.9, 158.79 W, 250.00 W, Enabled
02:48.9, 164.60 W, 250.00 W, Enabled
02:54.0, 103.74 W, 250.00 W, Enabled
02:59.0, 172.96 W, 250.00 W, Enabled
03:04.0, 128.13 W, 250.00 W, Enabled
03:09.0, 132.42 W, 250.00 W, Enabled
03:14.0, 166.04 W, 250.00 W, Enabled
03:19.0, 95.00 W, 250.00 W, Enabled
03:24.0, 132.72 W, 250.00 W, Enabled
03:29.0, 163.15 W, 250.00 W, Enabled
03:34.0, 146.38 W, 250.00 W, Enabled
03:39.0, 110.79 W, 250.00 W, Enabled
03:44.0, 168.15 W, 250.00 W, Enabled
03:49.0, 143.96 W, 250.00 W, Enabled
03:54.0, 124.98 W, 250.00 W, Enabled
03:59.0, 167.42 W, 250.00 W, Enabled
04:04.0, 90.98 W, 250.00 W, Enabled
04:09.0, 131.76 W, 250.00 W, Enabled
04:14.0, 169.33 W, 250.00 W, Enabled
04:19.0, 91.71 W, 250.00 W, Enabled
04:24.0, 164.70 W, 250.00 W, Enabled
04:29.0, 106.61 W, 250.00 W, Enabled
04:34.0, 172.74 W, 250.00 W, Enabled
04:39.0, 132.85 W, 250.00 W, Enabled
04:44.0, 133.40 W, 250.00 W, Enabled
04:49.1, 172.63 W, 250.00 W, Enabled
04:54.1, 119.87 W, 250.00 W, Enabled
04:59.1, 151.06 W, 250.00 W, Enabled
05:04.1, 166.21 W, 250.00 W, Enabled
05:09.1, 110.79 W, 250.00 W, Enabled
05:14.1, 158.08 W, 250.00 W, Enabled
05:19.1, 146.54 W, 250.00 W, Enabled
05:24.1, 112.98 W, 250.00 W, Enabled
05:29.1, 165.10 W, 250.00 W, Enabled
05:34.1, 145.17 W, 250.00 W, Enabled
05:39.1, 102.29 W, 250.00 W, Enabled
05:44.1, 170.88 W, 250.00 W, Enabled
05:49.1, 154.87 W, 250.00 W, Enabled
05:54.1, 119.23 W, 250.00 W, Enabled
05:59.1, 169.93 W, 250.00 W, Enabled
06:04.1, 148.32 W, 250.00 W, Enabled
06:09.1, 160.00 W, 250.00 W, Enabled
06:14.1, 168.70 W, 250.00 W, Enabled
06:19.1, 107.14 W, 250.00 W, Enabled
06:24.1, 169.67 W, 250.00 W, Enabled
06:29.1, 163.88 W, 250.00 W, Enabled
06:34.2, 110.48 W, 250.00 W, Enabled
06:39.2, 167.51 W, 250.00 W, Enabled
06:44.2, 158.88 W, 250.00 W, Enabled
06:49.2, 107.39 W, 250.00 W, Enabled
06:54.2, 118.97 W, 250.00 W, Enabled
06:59.2, 152.26 W, 250.00 W, Enabled
07:04.2, 169.33 W, 250.00 W, Enabled
07:09.2, 113.14 W, 250.00 W, Enabled
07:14.2, 160.62 W, 250.00 W, Enabled
07:19.2, 159.34 W, 250.00 W, Enabled
07:24.2, 101.01 W, 250.00 W, Enabled
07:29.2, 164.98 W, 250.00 W, Enabled
07:34.2, 133.20 W, 250.00 W, Enabled
07:39.2, 110.23 W, 250.00 W, Enabled
07:44.2, 170.37 W, 250.00 W, Enabled
07:49.2, 143.72 W, 250.00 W, Enabled
07:54.2, 131.37 W, 250.00 W, Enabled
07:59.2, 172.62 W, 250.00 W, Enabled
08:04.2, 147.66 W, 250.00 W, Enabled
08:09.2, 146.85 W, 250.00 W, Enabled
08:14.3, 169.07 W, 250.00 W, Enabled
08:19.3, 133.45 W, 250.00 W, Enabled
08:24.3, 152.50 W, 250.00 W, Enabled
08:29.3, 110.29 W, 250.00 W, Enabled
